observed_on,latitude,longitude,place_county_name,place_state_name,url,image_url,description
19/04/2019,-21.144.139.649,-427.051.366.757,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/56541207,https://inaturalist-open-data.s3.amazonaws.com/photos/90111262/medium.jpeg,Grupo formado por 16 indivíduos
07/05/2019,-22.922.367.768,-457.464.877.406,Santo Antônio do Pinhal,São Paulo,https://www.inaturalist.org/observations/185986901,https://inaturalist-open-data.s3.amazonaws.com/photos/324927742/medium.jpeg,
08/07/2019,-211.173.355.859,-426.570.553.028,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/56056304,https://inaturalist-open-data.s3.amazonaws.com/photos/89299102/medium.jpeg,"Grupo com cerca de ddez individuos, sem presença de individuos híbridos."
09/07/2019,-224.705.637.746,-430.280.712.533,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/82057794,https://inaturalist-open-data.s3.amazonaws.com/photos/134637404/medium.jpeg,
28/07/2019,-230.721.896.233,-444.722.770.303,Parati,Rio de Janeiro,https://www.inaturalist.org/observations/29752063,https://inaturalist-open-data.s3.amazonaws.com/photos/86230722/medium.jpeg,
03/08/2019,-211.620.874.978,-426.659.416.389,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/55526933,https://inaturalist-open-data.s3.amazonaws.com/photos/88419638/medium.jpeg,"Grupo formado por cerca de dez indivíduos, sem hibridação"
11/08/2019,-206.162.535.375,-428.145.142.335,Viçosa,Minas Gerais,https://www.inaturalist.org/observations/55439191,https://inaturalist-open-data.s3.amazonaws.com/photos/88277571/medium.jpeg,Dois indivíduos puros e um híbrido
11/09/2019,-211.564.545.448,-427.278.066.049,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/55315430,https://inaturalist-open-data.s3.amazonaws.com/photos/88065494/medium.jpeg,"Grupo formado por cerca de oito individuos, sem a presença de invasores ou híbridos"
11/09/2019,-211.444.814.479,-426.729.643.202,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/55315437,https://inaturalist-open-data.s3.amazonaws.com/photos/88066173/medium.jpeg,"Grupo formado por cerca de 15 indivíduos, cerca de dez são indivíduos puros e cinco híbridos"
02/10/2019,-220.313.490.779,-451.733.766.838,São Lourenço,Minas Gerais,https://www.inaturalist.org/observations/109393128,https://inaturalist-open-data.s3.amazonaws.com/photos/184365312/medium.jpeg,
16/10/2019,-225.934.739.918,-445.547.620.905,Resende,Rio de Janeiro,https://www.inaturalist.org/observations/195294758,https://inaturalist-open-data.s3.amazonaws.com/photos/343525782/medium.jpg,
15/11/2019,-208.450.147.856,-420.941.861.715,Porciúncula,Rio de Janeiro,https://www.inaturalist.org/observations/123902020,https://inaturalist-open-data.s3.amazonaws.com/photos/209951347/medium.jpeg,Com filhotes gêmeos.
03/05/2020,-210.828.037.247,-426.215.760.029,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/54205511,https://inaturalist-open-data.s3.amazonaws.com/photos/86239739/medium.jpeg,"Único indivíduo puro de um pequeno grupo formado por um infante de espécue ainda indeterminada e um híbrido, provavelmente um cruzamento entre Callithrix aurita e C. penicillata"
15/05/2020,-233.607.830.557,-471.882.332.678,Cabreúva,São Paulo,https://www.inaturalist.org/observations/153129940,https://inaturalist-open-data.s3.amazonaws.com/photos/264438642/medium.jpg,
17/05/2020,-210.165.921.786,-426.370.263.435,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/55051058,https://inaturalist-open-data.s3.amazonaws.com/photos/87630214/medium.jpeg,Indivíduo que faz parte de um pequeno grupo com um filhote ainda indefinido e um indivíduo híbrido.
07/06/2020,-211.468.529.165,-426.799.635.853,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/54203103,https://inaturalist-open-data.s3.amazonaws.com/photos/86235408/medium.jpeg,"Grupo de cerca de dez indivíduos, sem presença de espécies invasoras"
21/06/2020,-210.555.248.212,-427.803.222.567,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/54294642,https://inaturalist-open-data.s3.amazonaws.com/photos/86384883/medium.jpeg,"Pequeno grupo formado por macho de Callithrx aurita, híbrido não fotografado e filhote que aparentemente se trata de um C. aurita."
21/06/2020,-21.064.278.488,-427.787.936.264,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/54295370,https://inaturalist-open-data.s3.amazonaws.com/photos/86386904/medium.jpeg,"Grupo composto por mais de dez indivíduos, sem presença de espécies invasoras"
05/07/2020,-208.084.190.597,-421.648.838.782,Tombos,Minas Gerais,https://www.inaturalist.org/observations/52638240,https://static.inaturalist.org/photos/83689553/medium.jpeg,
17/07/2020,-232.875.354.349,-468.455.686.248,Cajamar,São Paulo,https://www.inaturalist.org/observations/103816155,https://static.inaturalist.org/photos/173847783/medium.jpg,
12/10/2020,-232.282.857.448,-45.974.943.355,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/198167160,https://static.inaturalist.org/photos/349211500/medium.jpeg,Registro de uma mãe com dois filhotes nas costas
08/11/2020,-221.060.800.618,-462.008.507.368,Santa Rita de Caldas,Minas Gerais,https://www.inaturalist.org/observations/64680897,https://inaturalist-open-data.s3.amazonaws.com/photos/104022473/medium.jpg,
20/11/2020,-226.344.890.002,-447.356.250.571,São José do Barreiro,São Paulo,https://www.inaturalist.org/observations/215057195,https://inaturalist-open-data.s3.amazonaws.com/photos/380173582/medium.png,
24/11/2020,-213.511.729.651,-502.011.289.912,Birigui,São Paulo,https://www.inaturalist.org/observations/115278030,https://static.inaturalist.org/photos/194591780/medium.jpeg,
29/11/2020,-217.826.175.198,-459.401.047.959,Poço Fundo,Minas Gerais,https://www.inaturalist.org/observations/65937382,https://inaturalist-open-data.s3.amazonaws.com/photos/106210853/medium.jpeg,Havia um casal no local
25/12/2020,-222.932.294.074,-433.571.455.974,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/67062754,https://inaturalist-open-data.s3.amazonaws.com/photos/108256720/medium.jpeg,Vídeo: https://youtu.be/zIb3zuL_5Dk
27/12/2020,-234.854.920.183,-458.888.155.272,Salesópolis,São Paulo,https://www.inaturalist.org/observations/102418520,https://inaturalist-open-data.s3.amazonaws.com/photos/171196562/medium.jpeg,
